id,student_id,subject_id,oral_test,fifteen_minutes_test,one_period_test,final_exam,average_mark,created_by
1,1,1,6.3,7.6,6.5,4.3,6.2,system
2,1,2,5.1,6.5,8.9,5.4,6.5,system
3,1,3,7.6,9.7,8.4,9.2,8.7,system
4,1,4,4.4,6,9.1,4.8,6.1,system
5,1,5,8.9,7.6,9,8,8.4,system
6,1,6,8.9,8.2,7,8.3,8.1,system
7,1,7,6.8,8.3,5.4,9.4,7.5,system
8,1,8,6.2,9.6,8.1,7.6,7.9,system
9,1,9,6.5,6.1,6.4,4.8,6,system
10,1,10,8.5,6,4.5,6,6.3,system
11,2,1,7.5,4.1,4.1,5.2,5.2,system
12,2,2,9.3,9.8,8.4,10,9.4,system
13,2,3,8.5,8,9.5,6.2,8.1,system
14,2,4,4,4.9,9.8,4.8,5.9,system
15,2,5,9,8.1,8.2,5.3,7.7,system
16,2,6,8.6,9.4,8.3,6.9,8.3,system
17,2,7,9.1,6.9,9.2,5.5,7.7,system
18,2,8,5.4,6.9,4.2,5.3,5.5,system
19,2,9,7.5,9.6,7.6,7.1,8,system
20,2,10,5.9,9.8,6,8.9,7.7,system
21,3,1,9.4,5,4.1,5,5.9,system
22,3,2,8,6.6,9.3,9.3,8.3,system
23,3,3,7.5,8,9.9,4,7.4,system
24,3,4,9.6,5.6,6.3,5.4,6.7,system
25,3,5,9.5,5,6.7,5.2,6.6,system
26,3,6,4.4,5,9.6,6.7,6.4,system
27,3,7,4.5,7.7,4,8.9,6.3,system
28,3,8,7.3,8.4,4.4,5.6,6.4,system
29,3,9,9.3,6.3,4.2,8.4,7.1,system
30,3,10,6,8.1,9.1,9.9,8.3,system
31,4,1,9.9,5.3,9.4,5.4,7.5,system
32,4,2,5.8,7,8.3,7.6,7.2,system
33,4,3,9.7,5.3,7,5.2,6.8,system
34,4,4,5.4,6.2,9.3,8.1,7.3,system
35,4,5,5.8,5.3,7,8.3,6.6,system
36,4,6,7.5,9.7,5.9,6.4,7.4,system
37,4,7,9.4,9.7,5.9,4.8,7.5,system
38,4,8,5.4,9.2,6.5,8.6,7.4,system
39,4,9,5.1,8.6,4.4,7.3,6.4,system
40,4,10,6.9,4.2,4.9,7.7,5.9,system
41,5,1,5.3,9.7,9,5.8,7.5,system
42,5,2,9.1,7,5.6,8.8,7.6,system
43,5,3,4.9,5.6,4.2,4,4.7,system
44,5,4,4.9,8.1,9.7,9.4,8,system
45,5,5,9.5,5,9.4,5.1,7.3,system
46,5,6,6,9,8.2,9.7,8.2,system
47,5,7,9.9,7.8,6.4,9.6,8.4,system
48,5,8,6.7,9.4,4.5,4.8,6.4,system
49,5,9,9.5,9.3,4.4,7.6,7.7,system
50,5,10,7.9,10,7.8,4.1,7.5,system
51,6,1,5,5.4,9.5,8.6,7.1,system
52,6,2,8.5,5.7,5.2,6,6.4,system
53,6,3,9.4,4.1,6.1,5.3,6.2,system
54,6,4,4,5.1,4.9,8.5,5.6,system
55,6,5,6.8,7.2,5.8,5.6,6.4,system
56,6,6,7.9,9.7,6.5,6.8,7.7,system
57,6,7,8.6,4.4,4.8,8.4,6.6,system
58,6,8,5.9,6.5,6.9,7,6.6,system
59,6,9,7.5,7.2,8.9,9.5,8.3,system
60,6,10,8.9,8.1,8.2,4.7,7.5,system
61,7,1,6.8,10,4.2,5.6,6.7,system
62,7,2,7.5,9.3,7.1,8.1,8,system
63,7,3,5.1,7.2,6.8,4.9,6,system
64,7,4,9.5,8.8,8.3,4.7,7.8,system
65,7,5,8.6,9.8,7.2,9.9,8.9,system
66,7,6,9.1,8,9.8,5.5,8.1,system
67,7,7,7.2,6.9,4.2,7.2,6.4,system
68,7,8,8.6,7.2,7,8.5,7.8,system
69,7,9,9.1,8.9,9.4,5.2,8.2,system
70,7,10,8.2,7.2,5.6,5.2,6.6,system
71,8,1,4.4,8.3,7.3,5.6,6.4,system
72,8,2,6.6,6.1,5.4,9.6,6.9,system
73,8,3,6.4,7,7.8,8.4,7.4,system
74,8,4,9.9,6.4,8.8,4.4,7.4,system
75,8,5,8.9,6.1,4.1,9.3,7.1,system
76,8,6,9.2,9,7,4.7,7.5,system
77,8,7,6.7,6.7,9.3,4.8,6.9,system
78,8,8,4.1,6.9,4.2,4.9,5,system
79,8,9,6.5,8.9,6.8,4.2,6.6,system
80,8,10,5.5,6.8,5.1,8.9,6.6,system
81,9,1,6,5.4,8.3,7.9,6.9,system
82,9,2,9.2,8.7,6.1,6.4,7.6,system
83,9,3,9.5,5.9,9.7,4.1,7.3,system
84,9,4,5.2,4.6,4.3,6,5,system
85,9,5,7.6,7.9,5.5,9.4,7.6,system
